continent.x	country	term	estimate	std.error	statistic	p.value	continent.y	sd
Africa	Equatorial Guinea	I(year - 1952)	0.310170629370629	0.00549728455811022	56.4225166246907	7.4187909362817e-14	Africa	0.328689810624535
Africa	Mauritania	I(year - 1952)	0.446417482517482	0.00681591273461275	65.4963612210691	1.67607732454799e-14	Africa	0.407532308413623
Africa	Comoros	I(year - 1952)	0.450390909090909	0.00800529187658044	56.2616474245657	7.63303968298643e-14	Africa	0.478646837923902
Africa	Mali	I(year - 1952)	0.37680979020979	0.00805472654941242	46.781202055491	4.8007806190221e-13	Africa	0.481602601461275
Africa	Botswana	(Intercept)	52.9291153846154	3.31904058114134	15.9471130559104	1.9386111418546e-08	Africa	6.11217733062277
Africa	Rwanda	(Intercept)	42.7419487179487	3.56127798000159	12.0018569058542	2.91716085959751e-07	Africa	6.558269477358
Africa	Swaziland	(Intercept)	46.387858974359	3.6078810346101	12.8573693337901	1.52275437386459e-07	Africa	6.64409130657407
Africa	Zimbabwe	(Intercept)	55.2212435897436	3.91270010500725	14.1133340424109	6.27004859971623e-08	Africa	7.20543069561591
Asia	Israel	I(year - 1952)	0.267106293706294	0.00611694488179716	43.6666177099536	9.53219266639404e-13	Asia	0.36574010923855
Asia	Pakistan	I(year - 1952)	0.405792307692307	0.00673900251684183	60.2154854042818	3.87736267081891e-14	Asia	0.402933746224056
Asia	Indonesia	I(year - 1952)	0.634641258741258	0.010796684500586	58.781124770925	4.93138591589213e-14	Asia	0.645547842095045
Asia	Iran	I(year - 1952)	0.49663986013986	0.0111158794455886	44.6784136667614	7.58885071252781e-13	Asia	0.664632923996152
Asia	China	(Intercept)	47.1904815384616	2.0944267502237	22.5314547445602	6.67383968705922e-10	Asia	3.85699041346615
Asia	Korea, Dem. Rep.	(Intercept)	54.9056025641026	2.11136131844204	26.0048349302038	1.62681422152889e-10	Asia	3.88817625812141
Asia	Iraq	(Intercept)	50.1134615384616	2.20308859381166	22.7469116218145	6.07811578778035e-10	Asia	4.05709657090687
Asia	Cambodia	(Intercept)	37.0154230769231	3.05728592073071	12.1072820915867	2.68671629715214e-07	Asia	5.63014318176746
Americas	Canada	I(year - 1952)	0.21886923076923	0.00416863786974591	52.5037764392259	1.52050301139801e-13	Americas	0.249248292949942
Americas	Argentina	I(year - 1952)	0.231708391608391	0.00488879098963894	47.3958473781069	4.21556744714119e-13	Americas	0.292307186863136
Americas	Brazil	I(year - 1952)	0.39008951048951	0.00545624260848165	71.494165212361	6.99043321717699e-15	Americas	0.326235858949216
Americas	Paraguay	I(year - 1952)	0.157354545454545	0.0065463971414017	24.0368162908082	3.53321932992588e-10	Americas	0.391417619723876
Americas	Trinidad and Tobago	(Intercept)	62.0523076923077	0.897062069869864	69.1728139852236	9.71830276900388e-15	Americas	1.65198415432892
Americas	Cuba	(Intercept)	62.2134487179487	0.945205146899524	65.8200486127506	1.59561904440854e-14	Americas	1.74064201097553
Americas	El Salvador	(Intercept)	46.5119487179487	1.05508201747849	44.0837280395569	8.67163151552395e-13	Americas	1.94298570069371
Americas	Jamaica	(Intercept)	62.6609871794872	1.11642053683941	56.1266880282233	7.81803530309423e-14	Americas	2.05594361680418
Europe	Sweden	I(year - 1952)	0.166254545454545	0.00354178400638319	46.9409046838859	4.6405834038555e-13	Europe	0.211767883220383
Europe	Switzerland	I(year - 1952)	0.222231468531468	0.00359435990374851	61.8278287323721	2.97892951766984e-14	Europe	0.214911464667868
Europe	France	I(year - 1952)	0.238501398601399	0.00368024839414682	64.8057883757843	1.86306757176393e-14	Europe	0.220046849482939
Europe	Belgium	I(year - 1952)	0.209084615384615	0.00489874724629774	42.6812417282054	1.19628011775419e-12	Europe	0.292902484428892
Europe	Albania	(Intercept)	59.2291282051282	1.07684403179424	55.0025133226031	9.56547054021611e-14	Europe	1.9830615260166
Europe	Bosnia and Herzegovina	(Intercept)	58.0895641025641	1.22541651246341	47.4039345085932	4.20841035710484e-13	Europe	2.25666509490946
Europe	Bulgaria	(Intercept)	65.7373076923078	1.36250296692514	48.2474602170311	3.53039350319454e-13	Europe	2.50911657864767
Europe	Montenegro	(Intercept)	62.2416282051282	1.49538843730526	41.6223816183102	1.53593972383434e-12	Europe	2.75383174249397
Oceania	Australia	(Intercept)	68.4005128205128	0.33700348729615	202.966780460655	2.07189539998203e-19	Oceania	0.620608584027623
Oceania	Australia	I(year - 1952)	0.227723776223776	0.0103795793946983	21.9395957739957	8.667221611503e-10	Oceania	0.620608584027623
Oceania	New Zealand	(Intercept)	68.6869230769231	0.436777386840678	157.25842304647	2.65556348872294e-18	Oceania	0.804347153073439
Oceania	New Zealand	I(year - 1952)	0.192820979020979	0.0134525776005923	14.333385373855	5.40732438121311e-08	Oceania	0.804347153073439
